K04D0012_H0011:1b-0	@1b [dd] *//	[dd]_4 
K04D0012_H0011:319a-4	ngas mar me mdzad de bzhin gshegs pa dgra bcom	ngas_0 mar_5 me_9 mdzad_12 de_18 bzhin_21 gshegs_27 ba_34 dgra_37 'joms_42 
K04D0012_H0011:319a-5	pa yang dag par rdzogs pa'i sangs rgyas la gang	ba_0 yang_3 'dag_8 ba_12 rdzogs_16 ba_23 sangs_28 rgya_34 la_40 gang_43 
K04D0012_H0011:319a-6	gi tshe autpal lngas gtor cing ngas mi skye ba'i	gi_0 tshe_3 autpal_8 lngas_15 'thor_21 cing_26 ngas_31 mi_36 skye_39 ba_44 
K04D0012_H0011:319a-7	chos la bzod pa'ang thob bo //	chos_0 la_5 bzod_8 ba_13 'thob_20 'bo_25 
K04D0012_H0011:319a-8	de nas mar me mdzad de bzhin gshegs pa dgra	de_0 nas_3 mar_7 me_11 mdzad_14 de_20 bzhin_23 gshegs_29 ba_36 dgra_39 
K04D0012_H0011:319a-9	bcom pa yang dag par rdzogs pa'i sangs rgyas kyis	'joms_0 ba_5 yang_8 'dag_13 ba_17 rdzogs_21 ba_28 sangs_33 rgya_39 kyis_45 
K04D0012_H0011:319a-10	nga la bram ze'i khye'u khyod ma 'ongs pa'i dus	nga_0 la_4 bram_7 ze_12 khye_17 khyod_24 ma_30 'ongs_33 ba_39 dus_44 
K04D0012_H0011:319a-11	na sh'akya thub pa zhes bya ba de bzhin gshegs	na_0 sh_3 thub_11 ba_16 zhes_19 byed_24 ba_28 de_31 bzhin_34 gshegs_40 
K04D0012_H0011:319a-12	pa dgra bcom pa yang dag par rdzogs pa'i sangs	ba_0 dgra_3 'joms_8 ba_13 yang_16 'dag_21 ba_25 rdzogs_29 ba_36 sangs_41 
K04D0012_H0011:319a-13	rgyas rig pa dang rkang par ldan pa /	rgya_0 rig_6 ba_10 dang_13 rkang_18 ba_24 ldan_28 ba_33 
K04D0012_H0011:319a-14	bde bar gshegs pa /	bde_0 ba_4 gshegs_8 ba_15 
K04D0012_H0011:319a-15	'jig rten mkhyen pa /	'jig_0 rten_5 mkhyen_10 ba_17 
K04D0012_H0011:319a-16	skyes bu gdul bya'i kha lo sgyur ba bla na med pa /	skye_0 bu_6 gdul_9 byed_14 kha_20 lo_24 sgyur_27 ba_33 bla_36 na_40 med_43 ba_47 
K04D0012_H0011:319a-17	lha dang mi rnams kyi ston pa sangs rgyas bcom ldan 'das su 'gyur ro //	lha_0 dang_4 mi_9 rnams_12 kyi_18 ston_22 ba_27 sangs_30 rgya_36 'joms_42 ldan_47 'da'_52 su_57 'gyur_60 ro_66 
K04D0012_H0011:319a-18	zhes bla na med pa yang dag par rdzogs pa'i byang chub tu lung bstan to //	zhes_0 bla_5 na_9 med_12 ba_16 yang_19 'dag_24 ba_28 rdzogs_32 ba_39 byang_44 chub_50 tu_55 lung_58 ston_63 to_69 
K04D0012_H0011:319a-19	de'i tshe sring mo 'dis nga lung bstan pa thos	de_0 tshe_5 sring_10 mo_16 'dis_19 nga_24 lung_28 ston_33 ba_39 thos_42 
K04D0012_H0011:319a-20	nas kye ma ma la bram ze'i khye'u 'di ji	nas_0 kye_4 ma_8 ma_11 la_14 bram_17 ze_22 khye_27 'di_34 ji_38 
K04D0012_H0011:319a-21	ltar bla na med pa yang dag par rdzogs pa'i	ltar_0 bla_5 na_9 med_12 ba_16 yang_19 'dag_24 ba_28 rdzogs_32 ba_39 
K04D0012_H0011:319a-22	byang chub tu lung bstan pa de bzhin du bdag	byang_0 chub_6 tu_11 lung_14 ston_19 ba_25 de_28 bzhin_31 du_37 bdag_40 
K04D0012_H0011:319a-23	kyang bla na med pa yang dag par rdzogs pa'i	kyang_0 bla_6 na_10 med_13 ba_17 yang_20 'dag_25 ba_29 rdzogs_33 ba_40 
K04D0012_H0011:319a-24	byang chub tu lung bstan na ci ma rung snyam	byang_0 chub_6 tu_11 lung_14 ston_19 na_25 ci_28 ma_31 rung_34 snyam_39 
K04D0012_H0011:319a-25	du sems skyes so //	du_0 sems_3 skye_8 so_14 
K04D0012_H0011:319a-26	kun dga' bo /	kun_0 dga'_4 'bo_9 
K04D0012_H0011:319a-27	da ltar sring mo 'dis mar me mdzad de bzhin	da_0 ltar_3 sring_8 mo_14 'dis_17 mar_22 me_26 mdzad_29 de_35 bzhin_38 
K04D0012_H0011:319a-28	gshegs pa dgra bcom pa yang dag par rdzogs pa'i	gshegs_0 ba_7 dgra_10 'joms_15 ba_20 yang_23 'dag_28 ba_32 rdzogs_36 ba_43 
K04D0012_H0011:319b-0	sangs rgyas kyi drung du @319b bla na med pa	sangs_0 rgya_6 kyi_12 drung_16 du_22 bla_31 na_35 med_38 ba_42 
K04D0012_H0011:319b-1	yang dag par rdzogs pa'i byang chub tu dang po	yang_0 'dag_5 ba_9 rdzogs_13 ba_20 byang_25 chub_31 tu_36 dang_39 po_44 
K04D0012_H0011:319b-2	sems bskyed pa'i dge ba'i rtsa ba bskyed do //	sems_0 skyed_5 ba_12 dge_17 ba_21 rtsa_26 ba_31 skyed_34 do_41 
K04D0012_H0011:319b-3	de skad ces bka' stsal pa dang /	de_0 skad_3 ces_8 bka'_12 stsal_17 ba_23 dang_26 
K04D0012_H0011:319b-4	bcom ldan 'das la tshe dang ldan pa kun dga' bos 'di skad ces gsol to //	'joms_0 ldan_5 'da'_10 la_15 tshe_18 dang_23 ldan_28 ba_33 kun_36 dga'_40 'bod_45 'di_49 skad_53 ces_58 gsol_62 to_67 
K04D0012_H0011:319b-5	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:319b-6	ae ma sring mo gangg'a'i lha mo 'di ni /	ae_0 ma_3 sring_6 mo_12 gangg'i_15 lha_25 mo_29 'di_32 ni_36 
K04D0012_H0011:319b-7	yongs su sbyang ba bgyis shing mthar phyin par bgyis pa lags te /	yongs_0 su_6 sbyong_9 ba_16 bgyid_19 shing_25 mthar_31 phyin_37 ba_43 bgyid_47 ba_53 lags_56 te_61 
K04D0012_H0011:319b-8	bla na med pa yang dag par rdzogs pa'i byang chub tu lung bstan pa'o //	bla_0 na_4 med_7 ba_11 yang_14 'dag_19 ba_23 rdzogs_27 ba_34 byang_39 chub_45 tu_50 lung_53 ston_58 ba_64 
K04D0012_H0011:319b-9	de skad ces gsol pa dang /	de_0 skad_3 ces_8 gsol_12 ba_17 dang_20 
K04D0012_H0011:319b-10	bcom ldan 'das kyis tshe dang ldan pa kun dga' bo la 'di skad ces bka' stsal to //	'joms_0 ldan_5 'da'_10 kyis_15 tshe_20 dang_25 ldan_30 ba_35 kun_38 dga'_42 'bo_47 la_50 'di_53 skad_57 ces_62 bka'_66 stsal_71 to_77 
K04D0012_H0011:319b-11	de de bzhin no //	de_0 de_3 bzhin_6 no_12 
K04D0012_H0011:319b-12	kun dga' bo; de de bzhin te /	kun_0 dga'_4 bo;_9 de_13 de_16 bzhin_19 te_25 
K04D0012_H0011:319b-13	ji skad smras pa bzhin no //	ji_0 skad_3 smras_8 ba_14 bzhin_17 no_23 
K04D0012_H0011:319b-14	ae ma'o sring mo gangg'a'i lha mo 'di ni /	ae_0 ma_3 sring_8 mo_14 gangg'i_17 lha_27 mo_31 'di_34 ni_38 
K04D0012_H0011:319b-15	yongs su sbyang ba byas shing mthar phyin par byas pa yin te /	yongs_0 su_6 sbyong_9 ba_16 byed_19 shing_24 mthar_30 phyin_36 ba_42 byed_46 ba_51 yin_54 te_58 
K04D0012_H0011:319b-16	bla na med pa yang dag par rdzogs pa'i byang chub tu lung bstan pa'o //	bla_0 na_4 med_7 ba_11 yang_14 'dag_19 ba_23 rdzogs_27 ba_34 byang_39 chub_45 tu_50 lung_53 ston_58 ba_64 
K04D0012_H0011:319b-17	'phags pa shes rab kyi pha rol tu phyin pa brgyad stong pa las /	'phag_0 ba_7 shes_10 rab_15 kyi_19 pha_23 rol_27 tu_31 phyin_34 ba_40 brgyad_43 stong_50 ba_56 las_59 
K04D0012_H0011:319b-18	sring mo gangg'a'i lha mo'i le'u zhes bya ste /	sring_0 mo_6 gangg'i_9 lha_19 mo_23 le_28 zhes_33 byed_38 ste_42 
K04D0012_H0011:319b-19	bcu dgu pa'o ////	'chu_0 dgu_4 ba_8 
K04D0012_H0011:319b-20	de nas bcom ldan 'das la tshe dang ldan pa rab 'byor gyis 'di skad ces gsol to //	de_0 nas_3 'joms_7 ldan_12 'da'_17 la_22 tshe_25 dang_30 ldan_35 ba_40 rab_43 'byor_47 gyis_53 'di_58 skad_62 ces_67 gsol_71 to_76 
K04D0012_H0011:319b-21	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:319b-22	byang chub sems dpa' sems dpa' chen po shes rab	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 shes_39 rab_44 
K04D0012_H0011:319b-23	kyi pha rol tu phyin pa la spyod pas ji	kyi_0 pha_4 rol_8 tu_12 phyin_15 ba_21 la_24 spyod_27 ba_33 ji_37 
K04D0012_H0011:319b-24	ltar stong pa nyid la yongs su 'dris par bgyi	ltar_0 stong_5 ba_11 nyid_14 la_19 yongs_22 su_28 'dris_31 ba_37 bgyid_41 
K04D0012_H0011:319b-25	/ ji ltar stong pa nyid kyi ting nge 'dzin la snyoms par 'jug par bgyi /	ji_2 ltar_5 stong_10 ba_16 nyid_19 kyi_24 ting_28 nge_33 'dzin_37 la_43 snyom_46 ba_53 'jug_57 ba_62 bgyid_66 
K04D0012_H0011:319b-26	bcom ldan 'das kyis bka' stsal pa /	'joms_0 ldan_5 'da'_10 kyis_15 bka'_20 stsal_25 ba_31 
K04D0012_H0011:320a-0	rab @320a *//	rab_0 
K04D0012_H0011:320a-1	'byor; 'di la byang chub sems dpa' sems dpa' chen	'byor;_0 'di_7 la_11 byang_14 chub_20 sems_25 dpa'_30 sems_35 dpa'_40 chen_45 
K04D0012_H0011:320a-2	po shes rab kyi pha rol tu phyin pa la	po_0 shes_3 rab_8 kyi_12 pha_16 rol_20 tu_24 phyin_27 ba_33 la_36 
K04D0012_H0011:320a-3	spyod pas gzugs stong pa'o //	spyod_0 ba_6 gzugs_10 stong_16 ba_22 
K04D0012_H0011:320a-4	snyam du so sor brtag par bya ste /	snyam_0 du_6 so_9 sor_12 rtog_16 ba_22 byed_26 ste_30 
K04D0012_H0011:320a-5	de bzhin du tshor ba dang /	de_0 bzhin_3 du_9 tshor_12 ba_18 dang_21 
K04D0012_H0011:320a-6	'du shes dang /	'du_0 shes_4 dang_9 
K04D0012_H0011:320a-7	'du byed rnams dang /	'du_0 byed_4 rnams_9 dang_15 
K04D0012_H0011:320a-8	rnam par shes pa stong pa'o //	rnam_0 ba_5 shes_9 ba_14 stong_17 ba_23 
K04D0012_H0011:320a-9	zhes so sor brtag par bya'o //	zhes_0 so_5 sor_8 rtog_12 ba_18 byed_22 
K04D0012_H0011:320a-10	ji ltar so sor rtog pa na chos nyid de	ji_0 ltar_3 so_8 sor_11 rtogs_15 ba_20 na_23 chos_26 nyid_31 de_36 
K04D0012_H0011:320a-11	la chos nyid kyi rang bzhin yod pa yin no	la_0 chos_3 nyid_8 kyi_13 rang_17 bzhin_22 yod_28 ba_32 yin_35 no_39 
K04D0012_H0011:320a-12	// zhes yang dag par rjes su mi mthong ba	zhes_3 yang_8 'dag_13 ba_17 rjes_21 su_26 mi_29 mthong_32 ba_39 
K04D0012_H0011:320a-13	de ltar mi g-yeng ba'i sems kyi rgyud kyis so	de_0 ltar_3 mi_8 g-yeng_11 ba_18 sems_23 kyi_28 brgyud_32 kyis_38 so_43 
K04D0012_H0011:320a-14	sor brtag par bya ste /	sor_0 rtog_4 ba_10 byed_14 ste_18 
K04D0012_H0011:320a-15	chos nyid de'ang yang dag par rjes su ma mthong	chos_0 nyid_5 de_10 yang_17 'dag_22 ba_26 rjes_30 su_35 ma_38 mthong_41 
K04D0012_H0011:320a-16	bas yang dag pa'i mtha' mngon sum du mi byed	ba_0 yang_4 'dag_9 ba_13 mtha'_18 mngon_24 sum_30 du_34 mi_37 byed_40 
K04D0012_H0011:320a-17	do // de skad ces bka' stsal pa dang /	do_0 de_6 skad_9 ces_14 bka'_18 stsal_23 ba_29 dang_32 
K04D0012_H0011:320a-18	bcom ldan 'das la tshe dang ldan pa rab 'byor gyis 'di /	'joms_0 ldan_5 'da'_10 la_15 tshe_18 dang_23 ldan_28 ba_33 rab_36 'byor_40 gyis_46 'di_51 
K04D0012_H0011:320a-19	skad ces gsol to //	skad_0 ces_5 gsol_9 to_14 
K04D0012_H0011:320a-20	bcom ldan 'das kyis gang 'di skad du /	'joms_0 ldan_5 'da'_10 kyis_15 gang_20 'di_25 skad_29 du_34 
K04D0012_H0011:320a-21	byang chub sems dpa' sems dpa' chen pos stong pa nyid mngon sum du mi bya'o //	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 pos_36 stong_40 ba_46 nyid_49 mngon_54 sum_60 du_64 mi_67 byed_70 
K04D0012_H0011:320a-22	zhes gsungs na /	zhes_0 gsungs_5 na_12 
K04D0012_H0011:320a-23	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:320a-24	byang chub sems dpa' sems dpa' chen po ting nge 'dzin de la gnas na /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 ting_39 nge_44 'dzin_48 de_54 la_57 gnas_60 na_65 
K04D0012_H0011:320a-25	ji ltar stong pa nyid mngon sum du mi bgyid /	ji_0 ltar_3 stong_8 ba_14 nyid_17 mngon_22 sum_28 du_32 mi_35 bgyid_38 
K04D0012_H0011:320a-26	bcom ldan 'das kyis bka' stsal pa /	'joms_0 ldan_5 'da'_10 kyis_15 bka'_20 stsal_25 ba_31 
K04D0012_H0011:320a-27	rab 'byor /	rab_0 'byor_4 
K04D0012_H0011:320a-28	'di ltar byang chub sems dpa' sems dpa' chen po ni /	'di_0 ltar_4 byang_9 chub_15 sems_20 dpa'_25 sems_30 dpa'_35 chen_40 po_45 ni_48 
K04D0012_H0011:320b-0	rnam pa thams cad kyi mchog dang ldan pa'i stong pa @320b nyid la rtog mod kyi /	rnam_0 ba_5 thams_8 cad_14 kyi_18 mchog_22 dang_28 ldan_33 ba_38 stong_43 ba_49 nyid_58 la_63 rtogs_66 mod_71 kyi_75 
K04D0012_H0011:320b-1	mngon sum du bya'o //	mngon_0 sum_6 du_10 byed_13 
K04D0012_H0011:320b-2	snyam du'ang mi rtog la mngon sum du bya ba yin no //	snyam_0 du_6 mi_13 rtogs_16 la_21 mngon_24 sum_30 du_34 byed_37 ba_41 yin_44 no_48 
K04D0012_H0011:320b-3	snyam du'ang mi rtog gi /	snyam_0 du_6 mi_13 rtogs_16 gi_21 
K04D0012_H0011:320b-4	yongs su 'dris par bya'o //	yongs_0 su_6 'dris_9 ba_15 byed_19 
K04D0012_H0011:320b-5	snyam du rtog go //	snyam_0 du_6 rtogs_9 go_14 
K04D0012_H0011:320b-6	'di ni /	'di_0 ni_4 
K04D0012_H0011:320b-7	yongs su 'dris par bya ba'i dus yin te /	yongs_0 su_6 'dris_9 ba_15 byed_19 ba_23 dus_28 yin_32 te_36 
K04D0012_H0011:320b-8	mngon sum du bya ba'i dus ni /	mngon_0 sum_6 du_10 byed_13 ba_17 dus_22 ni_26 
K04D0012_H0011:320b-9	ma yin no //	ma_0 yin_3 no_7 
K04D0012_H0011:320b-10	snyam du rtog cing /	snyam_0 du_6 rtogs_9 cing_14 
K04D0012_H0011:320b-11	bdag gis shes rab kyi pha rol tu phyin pa	bdag_0 gis_5 shes_9 rab_14 kyi_18 pha_22 rol_26 tu_30 phyin_33 ba_39 
K04D0012_H0011:320b-12	yongs su gzung bar yang 'gyur la mngon sum du'ang	yongs_0 su_6 gzung_9 ba_15 yang_19 'gyur_24 la_30 mngon_33 sum_39 du_43 
K04D0012_H0011:320b-13	mi bya'o // snyam pas mnyam par ma bzhag pa	mi_0 byed_3 snyam_12 ba_18 mnyam_22 ba_28 ma_32 'jog_35 ba_41 
K04D0012_H0011:320b-14	nyid du dmigs pa la sems nye bar 'dogs te	nyid_0 du_5 dmigs_8 ba_14 la_17 sems_20 nye_25 ba_29 'dogs_33 te_39 
K04D0012_H0011:320b-15	mi bya'o // / bar skabs der byang chub sems	mi_0 byed_3 ba_14 skabs_18 der_24 byang_28 chub_34 sems_39 
K04D0012_H0011:320b-16	dpa' sems dpa' chen po byang chub kyi phyogs kyi	dpa'_0 sems_5 dpa'_10 chen_15 po_20 byang_23 chub_29 kyi_34 phyogs_38 kyi_45 
K04D0012_H0011:320b-17	chos rnams las yongs su nyams par mi 'gyur zhing	chos_0 rnams_5 las_11 yongs_15 su_21 nyams_24 ba_30 mi_34 'gyur_37 zhing_43 
K04D0012_H0011:320b-18	zag pa zad par yang mi byed la /	zag_0 ba_4 zad_7 ba_11 yang_15 mi_20 byed_23 la_28 
K04D0012_H0011:320b-19	'di la yongs su 'dris par yang byed do //	'di_0 la_4 yongs_7 su_13 'dris_16 ba_22 yang_26 byed_31 do_36 
K04D0012_H0011:320b-20	gang gi tshe na byang chub sems dpa' sems dpa'	gang_0 gi_5 tshe_8 na_13 byang_16 chub_22 sems_27 dpa'_32 sems_37 dpa'_42 
K04D0012_H0011:320b-21	chen po rnam par thar pa'i sgo stong pa nyid	chen_0 po_5 rnam_8 ba_13 thar_17 ba_22 sgo_27 stong_31 ba_37 nyid_40 
K04D0012_H0011:320b-22	kyi ting nge 'dzin la gnas pa de'i tshe na	kyi_0 ting_4 nge_9 'dzin_13 la_19 gnas_22 ba_27 de_30 tshe_35 na_40 
K04D0012_H0011:320b-23	byang chub sems dpa' sems dpa' chen pos mtshan ma	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 pos_36 mtshan_40 ma_47 
K04D0012_H0011:320b-24	med pa'i ting nge 'dzin la gnas par bya ste	med_0 ba_4 ting_9 nge_14 'dzin_18 la_24 gnas_27 ba_32 byed_36 ste_40 
K04D0012_H0011:320b-25	/ mtshan ma med pa mngon sum du yang mi bya'o //	mtshan_2 ma_9 med_12 ba_16 mngon_19 sum_25 du_29 yang_32 mi_37 byed_40 
K04D0012_H0011:320b-26	de ci'i phyir zhe na /	de_0 ci_3 phyir_8 zhe_14 na_18 
K04D0012_H0011:320b-27	de ltar dge ba'i rtsa ba brtan pa yongs su	de_0 ltar_3 dge_8 ba_12 rtsa_17 ba_22 brtan_25 ba_31 yongs_34 su_40 
K04D0012_H0011:320b-28	bskyed pa'i chos dang ldan pa'i byang chub sems dpa'	skyed_0 ba_7 chos_12 dang_17 ldan_22 ba_27 byang_32 chub_38 sems_43 dpa'_48 
K04D0012_H0011:320b-29	sems dpa' chen pos ni /	sems_0 dpa'_5 chen_10 pos_15 ni_19 
K04D0012_H0011:320b-30	'di yongs su 'dris par bya ba'i dus yin gyi /	'di_0 yongs_4 su_10 'dris_13 ba_19 byed_23 ba_27 dus_32 yin_36 gyi_40 
K04D0012_H0011:320b-31	mngon sum du bya ba'i dus ni /	mngon_0 sum_6 du_10 byed_13 ba_17 dus_22 ni_26 
K04D0012_H0011:320b-32	ma yin no //	ma_0 yin_3 no_7 
K04D0012_H0011:320b-33	snyam du rab tu brtag par bya ste /	snyam_0 du_6 rab_9 tu_13 rtog_16 ba_22 byed_26 ste_30 
K04D0012_H0011:321a-0	shes rab kyi pha @321a *//	shes_0 rab_5 kyi_9 pha_13 
K04D0012_H0011:321a-1	rol tu phyin pas kyang yongs su bzung la yang	rol_0 tu_4 phyin_7 ba_13 kyang_17 yongs_23 su_29 bzung_32 la_38 yang_41 
K04D0012_H0011:321a-2	dag pa'i mtha' yang mngon sum du mi byed do	'dag_0 ba_4 mtha'_9 yang_15 mngon_20 sum_26 du_30 mi_33 byed_36 do_41 
K04D0012_H0011:321a-3	// rab 'byor /	rab_3 'byor_7 
K04D0012_H0011:321a-4	'di lta ste /	'di_0 lta_4 ste_8 
K04D0012_H0011:321a-5	dper na /	dper_0 na_5 
K04D0012_H0011:321a-6	skyes bu rab tu dpa' bar gyur pa /	skye_0 bu_6 rab_9 tu_13 dpa'_16 ba_21 gyur_25 ba_30 
K04D0012_H0011:321a-7	shin tu brtson 'grus dang ldan par gyur pa /	shin_0 tu_5 brtson_8 'grus_15 dang_21 ldan_26 ba_31 gyur_35 ba_40 
K04D0012_H0011:321a-8	brtan zhing gnas par gyur pa /	brtan_0 zhing_6 gnas_12 ba_17 gyur_21 ba_26 
K04D0012_H0011:321a-9	gzugs bzang bar gyur pa /	gzugs_0 bzang_6 ba_12 gyur_16 ba_21 
K04D0012_H0011:321a-10	mdzes par gyur pa /	mdzes_0 ba_6 gyur_10 ba_15 
K04D0012_H0011:321a-11	rab tu blta na sdug par gyur pa /	rab_0 tu_4 lta_7 na_12 sdug_15 ba_20 gyur_24 ba_29 
K04D0012_H0011:321a-12	yon tan mang po dang ldan par gyur pa /	yon_0 tan_4 mang_8 po_13 dang_16 ldan_21 ba_26 gyur_30 ba_35 
K04D0012_H0011:321a-13	yon tan mchog dang ldan par gyur pa /	yon_0 tan_4 mchog_8 dang_14 ldan_19 ba_24 gyur_28 ba_33 
K04D0012_H0011:321a-14	tshul khrims dang /	tshul_0 khrims_6 dang_13 
K04D0012_H0011:321a-15	dbang phyug mchog dang /	dbang_0 phyug_6 mchog_12 dang_18 
K04D0012_H0011:321a-16	thos pa dang /	thos_0 ba_5 dang_8 
K04D0012_H0011:321a-17	gtong ba la sogs pa'i yon tan dang ldan par gyur pa /	gtong_0 ba_6 la_9 sogs_12 ba_17 yon_22 tan_26 dang_30 ldan_35 ba_40 gyur_44 ba_49 
K04D0012_H0011:321a-18	yid gzhungs par gyur pa /	yid_0 gzhungs_4 ba_12 gyur_16 ba_21 
K04D0012_H0011:321a-19	smra nus par gyur pa /	smra_0 nus_5 ba_9 gyur_13 ba_18 
K04D0012_H0011:321a-20	lan ldon nus par gyur pa /	lan_0 ldon_4 nus_9 ba_13 gyur_17 ba_22 
K04D0012_H0011:321a-21	spobs pa phun sum tshogs par gyur pa /	spobs_0 ba_6 phun_9 sum_14 tshogs_18 ba_25 gyur_29 ba_34 
K04D0012_H0011:321a-22	sgrub pa phun sum tshogs pa dang ldan par gyur pa /	sgrub_0 ba_6 phun_9 sum_14 tshogs_18 ba_25 dang_28 ldan_33 ba_38 gyur_42 ba_47 
K04D0012_H0011:321a-23	dus shes par gyur pa /	dus_0 shes_4 ba_9 gyur_13 ba_18 
K04D0012_H0011:321a-24	yul shes par gyur pa /	yul_0 shes_4 ba_9 gyur_13 ba_18 
K04D0012_H0011:321a-25	gnas shes par gyur pa /	gnas_0 shes_5 ba_10 gyur_14 ba_19 
K04D0012_H0011:321a-26	'phong skyen pa'i mthar phyin par gyur pa /	'phong_0 skyen_7 ba_13 mthar_18 phyin_24 ba_30 gyur_34 ba_39 
K04D0012_H0011:321a-27	mtshon cha mang po zlog par gyur pa /	mtshon_0 cha_7 mang_11 po_16 zlog_19 ba_24 gyur_28 ba_33 
K04D0012_H0011:321a-28	mtshon cha sra ba zlog par gyur pa /	mtshon_0 cha_7 sra_11 ba_15 zlog_18 ba_23 gyur_27 ba_32 
K04D0012_H0011:321a-29	sgyu rtsal thams cad la rab tu mkhas par gyur pa /	sgyu_0 rtsal_5 thams_11 cad_17 la_21 rab_24 tu_28 mkhas_31 ba_37 gyur_41 ba_46 
K04D0012_H0011:321a-30	shin tu yongs su rdzogs pas bzo'i gnas thams cad kyi shin tu mthar phyin par gyur pa /	shin_0 tu_5 yongs_8 su_14 rdzogs_17 ba_24 bzo_28 gnas_34 thams_39 cad_45 kyi_49 shin_53 tu_58 mthar_61 phyin_67 ba_73 gyur_77 ba_82 
K04D0012_H0011:321a-31	dran pa dang ldan par gyur pa /	dran_0 ba_5 dang_8 ldan_13 ba_18 gyur_22 ba_27 
K04D0012_H0011:321a-32	blo gros dang ldan par gyur pa /	blo_0 gros_4 dang_9 ldan_14 ba_19 gyur_23 ba_28 
K04D0012_H0011:321b-0	rtogs pa dang ldan @321b par gyur pa /	rtogs_0 ba_6 dang_9 ldan_14 ba_25 gyur_29 ba_34 
K04D0012_H0011:321b-1	mos pa dang ldan par gyur pa /	mos_0 ba_4 dang_7 ldan_12 ba_17 gyur_21 ba_26 
K04D0012_H0011:321b-2	lugs dang ldan par gyur pa /	lugs_0 dang_5 ldan_10 ba_15 gyur_19 ba_24 
K04D0012_H0011:321b-3	bstan bcos thams cad la 'jigs pa med par gyur pa /	ston_0 'chos_6 thams_11 cad_17 la_21 'jigs_24 ba_30 med_33 ba_37 gyur_41 ba_46 
K04D0012_H0011:321b-4	mdza' bo dang ldan par gyur pa /	mdza'_0 'bo_6 dang_9 ldan_14 ba_19 gyur_23 ba_28 
K04D0012_H0011:321b-5	nor dang ldan par gyur pa /	nor_0 dang_4 ldan_9 ba_14 gyur_18 ba_23 
K04D0012_H0011:321b-6	dpung dang ldan par gyur pa /	dpung_0 dang_6 ldan_11 ba_16 gyur_20 ba_25 
K04D0012_H0011:321b-7	yan lag ma tshang ba med par gyur pa /	yan_0 lag_4 ma_8 tshang_11 ba_18 med_21 ba_25 gyur_29 ba_34 
K04D0012_H0011:321b-8	dbang po yongs su tshang bar gyur pa /	dbang_0 po_6 yongs_9 su_15 tshang_18 ba_25 gyur_29 ba_34 
K04D0012_H0011:321b-9	yo byad thams cad phun sum tshogs par gyur pa /	yo_0 byad_3 thams_8 cad_14 phun_18 sum_23 tshogs_27 ba_34 gyur_38 ba_43 
K04D0012_H0011:321b-10	'khor phun sum tshogs par gyur pa /	'khor_0 phun_6 sum_11 tshogs_15 ba_22 gyur_26 ba_31 
K04D0012_H0011:321b-11	skye bo mang po la'ang phangs shing yid du 'ong bar gyur pa /	skye_0 'bo_5 mang_8 po_13 la_16 'phang_23 shing_30 yid_36 du_40 'ong_43 ba_48 gyur_52 ba_57 
K04D0012_H0011:321b-12	dgos pa gang dang gang nyid rtsom pa de dang	dgos_0 ba_5 gang_8 dang_13 gang_18 nyid_23 rtsom_28 ba_34 de_37 dang_40 
K04D0012_H0011:321b-13	de dag thams cad la sgrol nus par gyur pa	de_0 'dag_3 thams_7 cad_13 la_17 sgrol_20 nus_26 ba_30 gyur_34 ba_39 
K04D0012_H0011:321b-14	/ rigs pas tha snyad du byed pa 'ga' zhig yod la /	rigs_2 ba_7 tha_11 snyad_15 du_21 byed_24 ba_29 'ga'_32 'jig_37 yod_42 la_46 
K04D0012_H0011:321b-15	de la thams cad du'ang rnyed pa che bar gyur pa ste /	de_0 la_3 thams_6 cad_12 du_16 rnyed_23 ba_29 che_32 ba_36 gyur_40 ba_45 ste_48 
K04D0012_H0011:321b-16	de rnyed pa chen po de dang ldan pas skye bo mang po la 'ged par byed /	de_0 rnyed_3 ba_9 chen_12 po_17 de_20 dang_23 ldan_28 ba_33 skye_37 'bo_42 mang_45 po_50 la_53 'ged_56 ba_61 byed_65 
K04D0012_H0011:321b-17	bkur stir bya ba la bkur stir byed /	bkur_0 stir_5 byed_10 ba_14 la_17 bkur_20 stir_25 byed_30 
K04D0012_H0011:321b-18	bla mar bya ba la bla mar byed /	bla_0 mar_4 byed_8 ba_12 la_15 bla_18 mar_22 byed_26 
K04D0012_H0011:321b-19	ri mor bya ba la ri mor byed /	ri_0 mor_3 byed_7 ba_11 la_14 ri_17 mor_20 byed_24 
K04D0012_H0011:321b-20	mchod par bya ba la mchod par byed na /	mchod_0 ba_6 byed_10 ba_14 la_17 mchod_20 ba_26 byed_30 na_35 
K04D0012_H0011:321b-21	rab 'byor /	rab_0 'byor_4 
K04D0012_H0011:321b-22	'di ji snyam du sems /	'di_0 ji_4 snyam_7 du_13 sems_16 
